id,source,url,type,ecosystem,cost,best_for,transform_notes
CS01,21st.dev,https://21st.dev,community component marketplace + AI mode,react-tailwind-shadcn,free,fast discovery of heroes/navbars/pricing/cards with live preview and install CLI,quality varies by author — audit a11y and deps before transform; WebFetch the specific component page for current code
CS02,shadcn/ui,https://ui.shadcn.com,accessible primitives (copy-paste owned),react-tailwind-radix,free,foundation primitives: button/dialog/dropdown/form — code lands in repo,deliberately neutral — full DNA re-skin expected; edit freely since you own the source
CS03,shadcn/ui Blocks,https://ui.shadcn.com/blocks,official full-page sections,react-tailwind-shadcn,free,dashboards/login/sidebar — highest works-out-of-box confidence,intentionally generic — re-skin tokens before any brand-forward use
CS04,Aceternity UI,https://ui.aceternity.com,animation-first marketing sections,react-tailwind-framer-motion,free tier,parallax heroes/animated backgrounds/3D hovers,heavy motion = CWV risk (INP/CLS); adopt its motion only if DNA motion axis says expressive; retime easings to the DNA signature curve
CS05,Magic UI,https://magicui.design,animation-first marketing components,react-tailwind-framer-motion,free tier + pro,particles/marquees/animated text effects,never mix with Aceternity on one page — one motion vocabulary per project
CS06,Motion Primitives,https://motion-primitives.com,composable animation primitives,react-tailwind-framer-motion,free,building custom animated components from small pieces,primitive-level — expect assembly; best source when signature element needs custom motion
CS07,Origin UI,https://originui.com,large free shadcn-compatible catalog,react-tailwind-shadcn,free,zero-budget variety with copy-paste ownership,community-maintained — check component quality individually
CS08,Cult UI,https://www.cult-ui.com,curated shadcn components with interactive flourishes,react-tailwind-shadcn,free,middle ground between plain shadcn and animation-first,small catalog — fills gaps not full builds
CS09,Hyperui,https://www.hyperui.dev,markup-only Tailwind blocks,html-tailwind,free,framework-agnostic HTML sections; no React needed,markup only — wire interactivity yourself; remap every default class to DNA tokens
CS10,Preline UI,https://preline.co,application-focused Tailwind blocks,html-tailwind,free,app chrome: forms/tables/navs/dashboards,utilitarian default look — always add brand layer for anything user-facing
CS11,Meraki UI,https://merakiui.com,free Tailwind components with first-class RTL,html-tailwind,free,Arabic/Hebrew/Persian RTL projects,markup only; smaller catalog
CS12,daisyUI,https://daisyui.com,semantic class component system + theming,tailwind-any-framework,free,non-React frameworks wanting themeable system fast,"default themes are recognizable — define a custom daisyUI theme from DNA tokens, never ship a stock theme"
CS13,Flowbite,https://flowbite.com,Tailwind library with React/Vue/Svelte/Angular bindings,multi-framework,free core + paid pro,multi-framework teams; matching Figma kit,verify free vs pro tier per block; re-skin default look
CS14,HeroUI (ex-NextUI),https://www.heroui.com,installed React component library,react-npm,free,npm-install preference with built-in dark mode + a11y,customization via its theme/variant API only — if DNA needs deeper control use shadcn instead
CS15,Tremor,https://tremor.so,dashboard/data-viz components,react-tailwind,free core,charts/KPI cards/data tables,pair with CS02/CS10 for surrounding chrome; normalize the two token systems after
CS16,v0.dev,https://v0.dev,AI prompt-to-component generator,react-tailwind-shadcn,credit-metered,first-draft layouts from prompt/sketch,output is a draft — full review + DNA transform + a11y pass mandatory
CS17,Park UI,https://park-ui.com,Ark UI-based components with Panda CSS/Tailwind presets,react-solid-vue-arkui,free,headless-first teams outside the radix ecosystem,tokens live in preset config — override with DNA tokens at the preset level not per-component
CS18,Untitled UI React,https://www.untitledui.com,large professional React/Tailwind kit,react-tailwind,free tier + paid,polished marketing + app sections at agency quality,free tier is limited — verify tier before promising a section; strongly branded neutral look needs full re-skin
CS19,uiverse.io,https://uiverse.io,community CSS/HTML micro-elements (buttons, loaders, toggles),html-css,free (MIT),single micro-interactions and loaders,snippet quality varies wildly — treat as sketch material; rewrite to DNA tokens and a11y-check every control
CS20,Ark UI,https://ark-ui.com,headless component logic (behavior only, zero styles),react-solid-vue,free,when DNA demands fully custom visuals but correct behavior (menus, dialogs, sliders),no styles shipped — pure win for distinctiveness; behavior a11y comes built-in, visual a11y (contrast/focus ring) still yours
